Kundennummer;12345678;;
Kundenname;Mustermann Max;;
ZP-Nummer;AT0070000XXXX10000000000000XXXXXX;;
Beginn;27.03.2024;;
Ende;01.05.2024;;
Energierichtung;Verbrauch gemessen;;
;;;
;;;
Datum;Zeit;kWh;Status
28.03.2024;11:00:00;0,373;Der Wert ist gültig
28.03.2024;11:15:00;0,167;Der Wert ist gültig
28.03.2024;11:30:00;0,171;Der Wert ist gültig
28.03.2024;11:45:00;0,168;Der Wert ist gültig
28.03.2024;12:00:00;0,253;Der Wert ist gültig
28.03.2024;12:15:00;0,497;Der Wert ist gültig
28.03.2024;12:30:00;0,187;Der Wert ist gültig
28.03.2024;12:45:00;0,191;Der Wert ist gültig
28.03.2024;13:00:00;0,199;Der Wert ist gültig
28.03.2024;13:15:00;0,225;Der Wert ist gültig
28.03.2024;13:30:00;0,204;Der Wert ist gültig
28.03.2024;13:45:00;0,208;Der Wert ist gültig
28.03.2024;14:00:00;0,616;Der Wert ist gültig
28.03.2024;14:15:00;0,773;Der Wert ist gültig
28.03.2024;14:30:00;0,183;Der Wert ist gültig
28.03.2024;14:45:00;0,196;Der Wert ist gültig
28.03.2024;15:00:00;0,699;Der Wert ist gültig
28.03.2024;15:15:00;0,791;Der Wert ist gültig
28.03.2024;15:30:00;0,694;Der Wert ist gültig
28.03.2024;15:45:00;0,703;Der Wert ist gültig
28.03.2024;16:00:00;0,223;Der Wert ist gültig
28.03.2024;16:15:00;0,157;Der Wert ist gültig
28.03.2024;16:30:00;0,24;Der Wert ist gültig
28.03.2024;16:45:00;0,209;Der Wert ist gültig
28.03.2024;17:00:00;0,165;Der Wert ist gültig
28.03.2024;17:15:00;0,19;Der Wert ist gültig
28.03.2024;17:30:00;0,143;Der Wert ist gültig
28.03.2024;17:45:00;0,204;Der Wert ist gültig
28.03.2024;18:00:00;0,551;Der Wert ist gültig
28.03.2024;18:15:00;0,207;Der Wert ist gültig
28.03.2024;18:30:00;0,283;Der Wert ist gültig
28.03.2024;18:45:00;0,224;Der Wert ist gültig
28.03.2024;19:00:00;0,206;Der Wert ist gültig
28.03.2024;19:15:00;0,202;Der Wert ist gültig
28.03.2024;19:30:00;0,208;Der Wert ist gültig
28.03.2024;19:45:00;0,188;Der Wert ist gültig
28.03.2024;20:00:00;0,209;Der Wert ist gültig
28.03.2024;20:15:00;0,194;Der Wert ist gültig
28.03.2024;20:30:00;0,208;Der Wert ist gültig
28.03.2024;20:45:00;0,214;Der Wert ist gültig
28.03.2024;21:00:00;0,183;Der Wert ist gültig
28.03.2024;21:15:00;0,202;Der Wert ist gültig
28.03.2024;21:30:00;0,212;Der Wert ist gültig
28.03.2024;21:45:00;0,269;Der Wert ist gültig
28.03.2024;22:00:00;0,272;Der Wert ist gültig
28.03.2024;22:15:00;0,232;Der Wert ist gültig
28.03.2024;22:30:00;0,208;Der Wert ist gültig
28.03.2024;22:45:00;0,178;Der Wert ist gültig
28.03.2024;23:00:00;0,178;Der Wert ist gültig
28.03.2024;23:15:00;0,175;Der Wert ist gültig
28.03.2024;23:30:00;0,166;Der Wert ist gültig
28.03.2024;23:45:00;0,156;Der Wert ist gültig
29.03.2024;00:00:00;0,161;Der Wert ist gültig
29.03.2024;00:15:00;0,153;Der Wert ist gültig
29.03.2024;00:30:00;0,157;Der Wert ist gültig
29.03.2024;00:45:00;0,15;Der Wert ist gültig
29.03.2024;01:00:00;0,158;Der Wert ist gültig
29.03.2024;01:15:00;0,151;Der Wert ist gültig
29.03.2024;01:30:00;0,153;Der Wert ist gültig
29.03.2024;01:45:00;0,158;Der Wert ist gültig
29.03.2024;02:00:00;0,162;Der Wert ist gültig
29.03.2024;02:15:00;0,18;Der Wert ist gültig
29.03.2024;02:30:00;0,155;Der Wert ist gültig
29.03.2024;02:45:00;0,156;Der Wert ist gültig
29.03.2024;03:00:00;0,154;Der Wert ist gültig
29.03.2024;03:15:00;0,148;Der Wert ist gültig
29.03.2024;03:30:00;0,152;Der Wert ist gültig
29.03.2024;03:45:00;0,152;Der Wert ist gültig
29.03.2024;04:00:00;0,153;Der Wert ist gültig
29.03.2024;04:15:00;0,152;Der Wert ist gültig
29.03.2024;04:30:00;0,154;Der Wert ist gültig
29.03.2024;04:45:00;0,149;Der Wert ist gültig
29.03.2024;05:00:00;0,154;Der Wert ist gültig
29.03.2024;05:15:00;0,155;Der Wert ist gültig
29.03.2024;05:30:00;0,157;Der Wert ist gültig
29.03.2024;05:45:00;0,155;Der Wert ist gültig
29.03.2024;06:00:00;0,164;Der Wert ist gültig
29.03.2024;06:15:00;0,179;Der Wert ist gültig
29.03.2024;06:30:00;0,175;Der Wert ist gültig
29.03.2024;06:45:00;0,159;Der Wert ist gültig
29.03.2024;07:00:00;0,154;Der Wert ist gültig
29.03.2024;07:15:00;0,15;Der Wert ist gültig
29.03.2024;07:30:00;0,147;Der Wert ist gültig
29.03.2024;07:45:00;0,169;Der Wert ist gültig
29.03.2024;08:00:00;0,553;Der Wert ist gültig
29.03.2024;08:15:00;0,444;Der Wert ist gültig
29.03.2024;08:30:00;0,306;Der Wert ist gültig
29.03.2024;08:45:00;0,073;Der Wert ist gültig
29.03.2024;09:00:00;0,214;Der Wert ist gültig
29.03.2024;09:15:00;0,224;Der Wert ist gültig
29.03.2024;09:30:00;0,209;Der Wert ist gültig
29.03.2024;09:45:00;0,178;Der Wert ist gültig
29.03.2024;10:00:00;0,267;Der Wert ist gültig
29.03.2024;10:15:00;0,253;Der Wert ist gültig
29.03.2024;10:30:00;0,154;Der Wert ist gültig
29.03.2024;10:45:00;0,172;Der Wert ist gültig
29.03.2024;11:00:00;0,706;Der Wert ist gültig
29.03.2024;11:15:00;0,544;Der Wert ist gültig
29.03.2024;11:30:00;0,868;Der Wert ist gültig
29.03.2024;11:45:00;0,993;Der Wert ist gültig
29.03.2024;12:00:00;0,446;Der Wert ist gültig
29.03.2024;12:15:00;0,262;Der Wert ist gültig
29.03.2024;12:30:00;0,08;Der Wert ist gültig
29.03.2024;12:45:00;0,1;Der Wert ist gültig
29.03.2024;13:00:00;0,096;Der Wert ist gültig
29.03.2024;13:15:00;0,07;Der Wert ist gültig
29.03.2024;13:30:00;0,051;Der Wert ist gültig
29.03.2024;13:45:00;0,051;Der Wert ist gültig
29.03.2024;14:00:00;0,054;Der Wert ist gültig
29.03.2024;14:15:00;0,049;Der Wert ist gültig
29.03.2024;14:30:00;0,048;Der Wert ist gültig
29.03.2024;14:45:00;0,054;Der Wert ist gültig
29.03.2024;15:00:00;0,054;Der Wert ist gültig
29.03.2024;15:15:00;0,058;Der Wert ist gültig
29.03.2024;15:30:00;0,053;Der Wert ist gültig
29.03.2024;15:45:00;0,052;Der Wert ist gültig
29.03.2024;16:00:00;0,058;Der Wert ist gültig
29.03.2024;16:15:00;0,091;Der Wert ist gültig
29.03.2024;16:30:00;0,061;Der Wert ist gültig
29.03.2024;16:45:00;0,051;Der Wert ist gültig
29.03.2024;17:00:00;0,055;Der Wert ist gültig
29.03.2024;17:15:00;0,062;Der Wert ist gültig
29.03.2024;17:30:00;0,087;Der Wert ist gültig
29.03.2024;17:45:00;0,085;Der Wert ist gültig
29.03.2024;18:00:00;0,124;Der Wert ist gültig
29.03.2024;18:15:00;0,367;Der Wert ist gültig
29.03.2024;18:30:00;0,354;Der Wert ist gültig
29.03.2024;18:45:00;0,232;Der Wert ist gültig
29.03.2024;19:00:00;0,168;Der Wert ist gültig
29.03.2024;19:15:00;0,185;Der Wert ist gültig
29.03.2024;19:30:00;0,19;Der Wert ist gültig
29.03.2024;19:45:00;0,18;Der Wert ist gültig
29.03.2024;20:00:00;0,188;Der Wert ist gültig
29.03.2024;20:15:00;0,205;Der Wert ist gültig
29.03.2024;20:30:00;0,201;Der Wert ist gültig
29.03.2024;20:45:00;0,191;Der Wert ist gültig
29.03.2024;21:00:00;0,197;Der Wert ist gültig
29.03.2024;21:15:00;0,202;Der Wert ist gültig
29.03.2024;21:30:00;0,183;Der Wert ist gültig
29.03.2024;21:45:00;0,196;Der Wert ist gültig
29.03.2024;22:00:00;0,188;Der Wert ist gültig
29.03.2024;22:15:00;0,189;Der Wert ist gültig
29.03.2024;22:30:00;0,195;Der Wert ist gültig
29.03.2024;22:45:00;0,19;Der Wert ist gültig
29.03.2024;23:00:00;0,182;Der Wert ist gültig
29.03.2024;23:15:00;0,177;Der Wert ist gültig
29.03.2024;23:30:00;0,147;Der Wert ist gültig
