Kundennummer;12345678;;
Kundenname;Mustermann Max;;
ZP-Nummer;AT0070000XXXX10000000000000XXXXXX;;
Beginn;27.03.2024;;
Ende;01.05.2024;;
Energierichtung;Verbrauch gemessen;;
;;;
;;;
Datum;Zeit;kWh;Status
06.04.2024;02:30:00;0,132;Der Wert ist gültig
06.04.2024;02:45:00;0,132;Der Wert ist gültig
06.04.2024;03:00:00;0,134;Der Wert ist gültig
06.04.2024;03:15:00;0,126;Der Wert ist gültig
06.04.2024;03:30:00;0,125;Der Wert ist gültig
06.04.2024;03:45:00;0,137;Der Wert ist gültig
06.04.2024;04:00:00;0,136;Der Wert ist gültig
06.04.2024;04:15:00;0,128;Der Wert ist gültig
06.04.2024;04:30:00;0,123;Der Wert ist gültig
06.04.2024;04:45:00;0,13;Der Wert ist gültig
06.04.2024;05:00:00;0,138;Der Wert ist gültig
06.04.2024;05:15:00;0,129;Der Wert ist gültig
06.04.2024;05:30:00;0,118;Der Wert ist gültig
06.04.2024;05:45:00;0,137;Der Wert ist gültig
06.04.2024;06:00:00;0,132;Der Wert ist gültig
06.04.2024;06:15:00;0,124;Der Wert ist gültig
06.04.2024;06:30:00;0,14;Der Wert ist gültig
06.04.2024;06:45:00;0,14;Der Wert ist gültig
06.04.2024;07:00:00;0,157;Der Wert ist gültig
06.04.2024;07:15:00;0,308;Der Wert ist gültig
06.04.2024;07:30:00;0,201;Der Wert ist gültig
06.04.2024;07:45:00;0,165;Der Wert ist gültig
06.04.2024;08:00:00;0,163;Der Wert ist gültig
06.04.2024;08:15:00;0,155;Der Wert ist gültig
06.04.2024;08:30:00;0,188;Der Wert ist gültig
06.04.2024;08:45:00;0,131;Der Wert ist gültig
06.04.2024;09:00:00;0,124;Der Wert ist gültig
06.04.2024;09:15:00;0,124;Der Wert ist gültig
06.04.2024;09:30:00;0,116;Der Wert ist gültig
06.04.2024;09:45:00;0,162;Der Wert ist gültig
06.04.2024;10:00:00;0,137;Der Wert ist gültig
06.04.2024;10:15:00;0,134;Der Wert ist gültig
06.04.2024;10:30:00;0,141;Der Wert ist gültig
06.04.2024;10:45:00;0,135;Der Wert ist gültig
06.04.2024;11:00:00;0,139;Der Wert ist gültig
06.04.2024;11:15:00;0,26;Der Wert ist gültig
06.04.2024;11:30:00;0,345;Der Wert ist gültig
06.04.2024;11:45:00;0,717;Der Wert ist gültig
06.04.2024;12:00:00;0,67;Der Wert ist gültig
06.04.2024;12:15:00;0,332;Der Wert ist gültig
06.04.2024;12:30:00;0,225;Der Wert ist gültig
06.04.2024;12:45:00;0,209;Der Wert ist gültig
06.04.2024;13:00:00;0,553;Der Wert ist gültig
06.04.2024;13:15:00;0,342;Der Wert ist gültig
06.04.2024;13:30:00;0,328;Der Wert ist gültig
06.04.2024;13:45:00;0,168;Der Wert ist gültig
06.04.2024;14:00:00;0,161;Der Wert ist gültig
06.04.2024;14:15:00;0,164;Der Wert ist gültig
06.04.2024;14:30:00;0,138;Der Wert ist gültig
06.04.2024;14:45:00;0,077;Der Wert ist gültig
06.04.2024;15:00:00;0,329;Der Wert ist gültig
06.04.2024;15:15:00;0,379;Der Wert ist gültig
06.04.2024;15:30:00;0,423;Der Wert ist gültig
06.04.2024;15:45:00;0,297;Der Wert ist gültig
06.04.2024;16:00:00;0,114;Der Wert ist gültig
06.04.2024;16:15:00;0,117;Der Wert ist gültig
06.04.2024;16:30:00;0,145;Der Wert ist gültig
06.04.2024;16:45:00;0,322;Der Wert ist gültig
06.04.2024;17:00:00;0,806;Der Wert ist gültig
06.04.2024;17:15:00;0,304;Der Wert ist gültig
06.04.2024;17:30:00;0,139;Der Wert ist gültig
06.04.2024;17:45:00;0,469;Der Wert ist gültig
06.04.2024;18:00:00;0,107;Der Wert ist gültig
06.04.2024;18:15:00;0,104;Der Wert ist gültig
06.04.2024;18:30:00;0,107;Der Wert ist gültig
06.04.2024;18:45:00;0,258;Der Wert ist gültig
06.04.2024;19:00:00;0,155;Der Wert ist gültig
06.04.2024;19:15:00;0,155;Der Wert ist gültig
06.04.2024;19:30:00;0,155;Der Wert ist gültig
06.04.2024;19:45:00;0,117;Der Wert ist gültig
06.04.2024;20:00:00;0,148;Der Wert ist gültig
06.04.2024;20:15:00;0,141;Der Wert ist gültig
06.04.2024;20:30:00;0,244;Der Wert ist gültig
06.04.2024;20:45:00;0,15;Der Wert ist gültig
06.04.2024;21:00:00;0,145;Der Wert ist gültig
06.04.2024;21:15:00;0,153;Der Wert ist gültig
06.04.2024;21:30:00;0,082;Der Wert ist gültig
06.04.2024;21:45:00;0,11;Der Wert ist gültig
06.04.2024;22:00:00;0,106;Der Wert ist gültig
06.04.2024;22:15:00;0,078;Der Wert ist gültig
06.04.2024;22:30:00;0,088;Der Wert ist gültig
06.04.2024;22:45:00;0,101;Der Wert ist gültig
06.04.2024;23:00:00;0,12;Der Wert ist gültig
06.04.2024;23:15:00;0,093;Der Wert ist gültig
06.04.2024;23:30:00;0,067;Der Wert ist gültig
06.04.2024;23:45:00;0,061;Der Wert ist gültig
07.04.2024;00:00:00;0,078;Der Wert ist gültig
07.04.2024;00:15:00;0,067;Der Wert ist gültig
07.04.2024;00:30:00;0,059;Der Wert ist gültig
07.04.2024;00:45:00;0,072;Der Wert ist gültig
07.04.2024;01:00:00;0,102;Der Wert ist gültig
07.04.2024;01:15:00;0,086;Der Wert ist gültig
07.04.2024;01:30:00;0,048;Der Wert ist gültig
07.04.2024;01:45:00;0,07;Der Wert ist gültig
07.04.2024;02:00:00;0,064;Der Wert ist gültig
07.04.2024;02:15:00;0,075;Der Wert ist gültig
07.04.2024;02:30:00;0,305;Der Wert ist gültig
07.04.2024;02:45:00;0,167;Der Wert ist gültig
07.04.2024;03:00:00;0,073;Der Wert ist gültig
07.04.2024;03:15:00;0,075;Der Wert ist gültig
07.04.2024;03:30:00;0,052;Der Wert ist gültig
07.04.2024;03:45:00;0,198;Der Wert ist gültig
07.04.2024;04:00:00;0,072;Der Wert ist gültig
07.04.2024;04:15:00;0,072;Der Wert ist gültig
07.04.2024;04:30:00;0,395;Der Wert ist gültig
07.04.2024;04:45:00;0,086;Der Wert ist gültig
07.04.2024;05:00:00;0,095;Der Wert ist gültig
07.04.2024;05:15:00;0,08;Der Wert ist gültig
07.04.2024;05:30:00;0,072;Der Wert ist gültig
07.04.2024;05:45:00;0,059;Der Wert ist gültig
07.04.2024;06:00:00;0,129;Der Wert ist gültig
07.04.2024;06:15:00;0,091;Der Wert ist gültig
07.04.2024;06:30:00;0,049;Der Wert ist gültig
07.04.2024;06:45:00;0,071;Der Wert ist gültig
07.04.2024;07:00:00;0,112;Der Wert ist gültig
07.04.2024;07:15:00;0,366;Der Wert ist gültig
07.04.2024;07:30:00;0,293;Der Wert ist gültig
07.04.2024;07:45:00;0,104;Der Wert ist gültig
07.04.2024;08:00:00;0,378;Der Wert ist gültig
07.04.2024;08:15:00;0,432;Der Wert ist gültig
07.04.2024;08:30:00;0,504;Der Wert ist gültig
07.04.2024;08:45:00;0,405;Der Wert ist gültig
07.04.2024;09:00:00;0,096;Der Wert ist gültig
07.04.2024;09:15:00;0,102;Der Wert ist gültig
07.04.2024;09:30:00;0,105;Der Wert ist gültig
07.04.2024;09:45:00;0,085;Der Wert ist gültig
07.04.2024;10:00:00;0,101;Der Wert ist gültig
07.04.2024;10:15:00;0,181;Der Wert ist gültig
07.04.2024;10:30:00;0,544;Der Wert ist gültig
07.04.2024;10:45:00;0,381;Der Wert ist gültig
07.04.2024;11:00:00;0,281;Der Wert ist gültig
07.04.2024;11:15:00;0,255;Der Wert ist gültig
07.04.2024;11:30:00;0,27;Der Wert ist gültig
07.04.2024;11:45:00;0,552;Der Wert ist gültig
07.04.2024;12:00:00;0,425;Der Wert ist gültig
07.04.2024;12:15:00;0,472;Der Wert ist gültig
07.04.2024;12:30:00;0,894;Der Wert ist gültig
07.04.2024;12:45:00;0,862;Der Wert ist gültig
07.04.2024;13:00:00;0,452;Der Wert ist gültig
07.04.2024;13:15:00;0,719;Der Wert ist gültig
07.04.2024;13:30:00;0,622;Der Wert ist gültig
07.04.2024;13:45:00;0,126;Der Wert ist gültig
07.04.2024;14:00:00;0,093;Der Wert ist gültig
07.04.2024;14:15:00;0,151;Der Wert ist gültig
07.04.2024;14:30:00;0,155;Der Wert ist gültig
07.04.2024;14:45:00;0,089;Der Wert ist gültig
07.04.2024;15:00:00;0,157;Der Wert ist gültig
07.04.2024;15:15:00;0,204;Der Wert ist gültig
07.04.2024;15:30:00;0,157;Der Wert ist gültig
07.04.2024;15:45:00;0,091;Der Wert ist gültig
07.04.2024;16:00:00;0,118;Der Wert ist gültig
07.04.2024;16:15:00;0,092;Der Wert ist gültig
07.04.2024;16:30:00;0,106;Der Wert ist gültig
07.04.2024;16:45:00;0,138;Der Wert ist gültig
07.04.2024;17:00:00;0,279;Der Wert ist gültig
07.04.2024;17:15:00;0,64;Der Wert ist gültig
07.04.2024;17:30:00;0,591;Der Wert ist gültig
07.04.2024;17:45:00;0,509;Der Wert ist gültig
07.04.2024;18:00:00;0,128;Der Wert ist gültig
07.04.2024;18:15:00;0,089;Der Wert ist gültig
07.04.2024;18:30:00;0,096;Der Wert ist gültig
07.04.2024;18:45:00;0,124;Der Wert ist gültig
07.04.2024;19:00:00;0,139;Der Wert ist gültig
07.04.2024;19:15:00;0,176;Der Wert ist gültig
07.04.2024;19:30:00;0,144;Der Wert ist gültig
07.04.2024;19:45:00;0,129;Der Wert ist gültig
07.04.2024;20:00:00;0,165;Der Wert ist gültig
07.04.2024;20:15:00;0,164;Der Wert ist gültig
07.04.2024;20:30:00;0,138;Der Wert ist gültig
07.04.2024;20:45:00;0,119;Der Wert ist gültig
07.04.2024;21:00:00;0,131;Der Wert ist gültig
07.04.2024;21:15:00;0,14;Der Wert ist gültig
07.04.2024;21:30:00;0,106;Der Wert ist gültig
07.04.2024;21:45:00;0,105;Der Wert ist gültig
07.04.2024;22:00:00;0,105;Der Wert ist gültig
07.04.2024;22:15:00;0,096;Der Wert ist gültig
07.04.2024;22:30:00;0,09;Der Wert ist gültig
07.04.2024;22:45:00;0,09;Der Wert ist gültig
07.04.2024;23:00:00;0,082;Der Wert ist gültig
07.04.2024;23:15:00;0,071;Der Wert ist gültig
07.04.2024;23:30:00;0,065;Der Wert ist gültig
07.04.2024;23:45:00;0,08;Der Wert ist gültig
08.04.2024;00:00:00;0,085;Der Wert ist gültig
08.04.2024;00:15:00;0,078;Der Wert ist gültig
08.04.2024;00:30:00;0,076;Der Wert ist gültig
08.04.2024;00:45:00;0,058;Der Wert ist gültig
08.04.2024;01:00:00;0,069;Der Wert ist gültig
08.04.2024;01:15:00;0,075;Der Wert ist gültig
08.04.2024;01:30:00;0,076;Der Wert ist gültig
08.04.2024;01:45:00;0,056;Der Wert ist gültig
08.04.2024;02:00:00;0,082;Der Wert ist gültig
08.04.2024;02:15:00;0,083;Der Wert ist gültig
08.04.2024;02:30:00;0,449;Der Wert ist gültig
08.04.2024;02:45:00;0,143;Der Wert ist gültig
08.04.2024;03:00:00;0,07;Der Wert ist gültig
08.04.2024;03:15:00;0,068;Der Wert ist gültig
08.04.2024;03:30:00;0,08;Der Wert ist gültig
08.04.2024;03:45:00;0,207;Der Wert ist gültig
08.04.2024;04:00:00;0,084;Der Wert ist gültig
08.04.2024;04:15:00;0,063;Der Wert ist gültig
08.04.2024;04:30:00;0,055;Der Wert ist gültig
08.04.2024;04:45:00;0,057;Der Wert ist gültig
08.04.2024;05:00:00;0,078;Der Wert ist gültig
08.04.2024;05:15:00;0,066;Der Wert ist gültig
08.04.2024;05:30:00;0,052;Der Wert ist gültig
08.04.2024;05:45:00;0,09;Der Wert ist gültig
08.04.2024;06:00:00;0,133;Der Wert ist gültig
08.04.2024;06:15:00;0,093;Der Wert ist gültig
08.04.2024;06:30:00;0,213;Der Wert ist gültig
08.04.2024;06:45:00;0,15;Der Wert ist gültig
08.04.2024;07:00:00;0,125;Der Wert ist gültig
08.04.2024;07:15:00;0,06;Der Wert ist gültig
08.04.2024;07:30:00;0,052;Der Wert ist gültig
08.04.2024;07:45:00;0,083;Der Wert ist gültig
08.04.2024;08:00:00;0,061;Der Wert ist gültig
08.04.2024;08:15:00;0,059;Der Wert ist gültig
08.04.2024;08:30:00;0,073;Der Wert ist gültig
08.04.2024;08:45:00;0,078;Der Wert ist gültig
08.04.2024;09:00:00;0,131;Der Wert ist gültig
08.04.2024;09:15:00;0,138;Der Wert ist gültig
08.04.2024;09:30:00;0,429;Der Wert ist gültig
08.04.2024;09:45:00;0,392;Der Wert ist gültig
08.04.2024;10:00:00;0,43;Der Wert ist gültig
08.04.2024;10:15:00;0,332;Der Wert ist gültig
08.04.2024;10:30:00;0,067;Der Wert ist gültig
08.04.2024;10:45:00;0,046;Der Wert ist gültig
08.04.2024;11:00:00;0,054;Der Wert ist gültig
08.04.2024;11:15:00;0,073;Der Wert ist gültig
08.04.2024;11:30:00;0,368;Der Wert ist gültig
08.04.2024;11:45:00;0,146;Der Wert ist gültig
08.04.2024;12:00:00;0,331;Der Wert ist gültig
08.04.2024;12:15:00;0,282;Der Wert ist gültig
08.04.2024;12:30:00;0,095;Der Wert ist gültig
08.04.2024;12:45:00;0,061;Der Wert ist gültig
08.04.2024;13:00:00;0,104;Der Wert ist gültig
08.04.2024;13:15:00;0,584;Der Wert ist gültig
08.04.2024;13:30:00;0,184;Der Wert ist gültig
08.04.2024;13:45:00;0,096;Der Wert ist gültig
08.04.2024;14:00:00;0,419;Der Wert ist gültig
08.04.2024;14:15:00;0,069;Der Wert ist gültig
08.04.2024;14:30:00;0,04;Der Wert ist gültig
08.04.2024;14:45:00;0,067;Der Wert ist gültig
08.04.2024;15:00:00;0,067;Der Wert ist gültig
08.04.2024;15:15:00;0,034;Der Wert ist gültig
08.04.2024;15:30:00;0,037;Der Wert ist gültig
08.04.2024;15:45:00;0,035;Der Wert ist gültig
08.04.2024;16:00:00;0,044;Der Wert ist gültig
08.04.2024;16:15:00;0,033;Der Wert ist gültig
08.04.2024;16:30:00;0,088;Der Wert ist gültig
08.04.2024;16:45:00;0,047;Der Wert ist gültig
08.04.2024;17:00:00;0,058;Der Wert ist gültig
08.04.2024;17:15:00;0,075;Der Wert ist gültig
08.04.2024;17:30:00;0,052;Der Wert ist gültig
08.04.2024;17:45:00;0,072;Der Wert ist gültig
08.04.2024;18:00:00;0,102;Der Wert ist gültig
08.04.2024;18:15:00;0,124;Der Wert ist gültig
08.04.2024;18:30:00;0,079;Der Wert ist gültig
08.04.2024;18:45:00;0,12;Der Wert ist gültig
08.04.2024;19:00:00;0,084;Der Wert ist gültig
08.04.2024;19:15:00;0,094;Der Wert ist gültig
08.04.2024;19:30:00;0,075;Der Wert ist gültig
08.04.2024;19:45:00;0,075;Der Wert ist gültig
08.04.2024;20:00:00;0,119;Der Wert ist gültig
08.04.2024;20:15:00;0,134;Der Wert ist gültig
08.04.2024;20:30:00;0,114;Der Wert ist gültig
08.04.2024;20:45:00;0,137;Der Wert ist gültig
08.04.2024;21:00:00;0,123;Der Wert ist gültig
08.04.2024;21:15:00;0,085;Der Wert ist gültig
08.04.2024;21:30:00;0,094;Der Wert ist gültig
08.04.2024;21:45:00;0,066;Der Wert ist gültig
08.04.2024;22:00:00;0,099;Der Wert ist gültig
08.04.2024;22:15:00;0,103;Der Wert ist gültig
08.04.2024;22:30:00;0,082;Der Wert ist gültig
08.04.2024;22:45:00;0,065;Der Wert ist gültig
08.04.2024;23:00:00;0,06;Der Wert ist gültig
08.04.2024;23:15:00;0,062;Der Wert ist gültig
08.04.2024;23:30:00;0,06;Der Wert ist gültig
08.04.2024;23:45:00;0,038;Der Wert ist gültig
09.04.2024;00:00:00;0,042;Der Wert ist gültig
09.04.2024;00:15:00;0,056;Der Wert ist gültig
09.04.2024;00:30:00;0,086;Der Wert ist gültig
09.04.2024;00:45:00;0,079;Der Wert ist gültig
09.04.2024;01:00:00;0,057;Der Wert ist gültig
09.04.2024;01:15:00;0,04;Der Wert ist gültig
09.04.2024;01:30:00;0,045;Der Wert ist gültig
09.04.2024;01:45:00;0,057;Der Wert ist gültig
09.04.2024;02:00:00;0,062;Der Wert ist gültig
09.04.2024;02:15:00;0,057;Der Wert ist gültig
09.04.2024;02:30:00;0,05;Der Wert ist gültig
09.04.2024;02:45:00;0,045;Der Wert ist gültig
09.04.2024;03:00:00;0,04;Der Wert ist gültig
09.04.2024;03:15:00;0,059;Der Wert ist gültig
09.04.2024;03:30:00;0,059;Der Wert ist gültig
09.04.2024;03:45:00;0,047;Der Wert ist gültig
09.04.2024;04:00:00;0,045;Der Wert ist gültig
09.04.2024;04:15:00;0,053;Der Wert ist gültig
09.04.2024;04:30:00;0,055;Der Wert ist gültig
09.04.2024;04:45:00;0,041;Der Wert ist gültig
09.04.2024;05:00:00;0,048;Der Wert ist gültig
09.04.2024;05:15:00;0,05;Der Wert ist gültig
09.04.2024;05:30:00;0,055;Der Wert ist gültig
09.04.2024;05:45:00;0,059;Der Wert ist gültig
09.04.2024;06:00:00;0,047;Der Wert ist gültig
09.04.2024;06:15:00;0,059;Der Wert ist gültig
09.04.2024;06:30:00;0,19;Der Wert ist gültig
09.04.2024;06:45:00;0,101;Der Wert ist gültig
09.04.2024;07:00:00;0,12;Der Wert ist gültig
09.04.2024;07:15:00;0,066;Der Wert ist gültig
09.04.2024;07:30:00;0,052;Der Wert ist gültig
09.04.2024;07:45:00;0,057;Der Wert ist gültig
09.04.2024;08:00:00;0,044;Der Wert ist gültig
09.04.2024;08:15:00;0,063;Der Wert ist gültig
09.04.2024;08:30:00;0,077;Der Wert ist gültig
09.04.2024;08:45:00;0,063;Der Wert ist gültig
09.04.2024;09:00:00;0,284;Der Wert ist gültig
09.04.2024;09:15:00;0,121;Der Wert ist gültig
09.04.2024;09:30:00;0,039;Der Wert ist gültig
09.04.2024;09:45:00;0,048;Der Wert ist gültig
09.04.2024;10:00:00;0,06;Der Wert ist gültig
09.04.2024;10:15:00;0,066;Der Wert ist gültig
09.04.2024;10:30:00;0,072;Der Wert ist gültig
09.04.2024;10:45:00;0,065;Der Wert ist gültig
09.04.2024;11:00:00;0,061;Der Wert ist gültig
09.04.2024;11:15:00;0,225;Der Wert ist gültig
09.04.2024;11:30:00;0,032;Der Wert ist gültig
09.04.2024;11:45:00;0,15;Der Wert ist gültig
09.04.2024;12:00:00;0,041;Der Wert ist gültig
09.04.2024;12:15:00;0,049;Der Wert ist gültig
09.04.2024;12:30:00;0,294;Der Wert ist gültig
09.04.2024;12:45:00;0,061;Der Wert ist gültig
09.04.2024;13:00:00;0,082;Der Wert ist gültig
09.04.2024;13:15:00;0,39;Der Wert ist gültig
09.04.2024;13:30:00;0,421;Der Wert ist gültig
09.04.2024;13:45:00;0,458;Der Wert ist gültig
09.04.2024;14:00:00;0,076;Der Wert ist gültig
09.04.2024;14:15:00;0,036;Der Wert ist gültig
09.04.2024;14:30:00;0,039;Der Wert ist gültig
09.04.2024;14:45:00;0,04;Der Wert ist gültig
09.04.2024;15:00:00;0,035;Der Wert ist gültig
09.04.2024;15:15:00;0,034;Der Wert ist gültig
09.04.2024;15:30:00;0,038;Der Wert ist gültig
09.04.2024;15:45:00;0,038;Der Wert ist gültig
09.04.2024;16:00:00;0,045;Der Wert ist gültig
09.04.2024;16:15:00;0,056;Der Wert ist gültig
09.04.2024;16:30:00;0,27;Der Wert ist gültig
09.04.2024;16:45:00;0,523;Der Wert ist gültig
09.04.2024;17:00:00;0,455;Der Wert ist gültig
09.04.2024;17:15:00;0,53;Der Wert ist gültig
09.04.2024;17:30:00;0,492;Der Wert ist gültig
09.04.2024;17:45:00;0,146;Der Wert ist gültig
09.04.2024;18:00:00;0,087;Der Wert ist gültig
09.04.2024;18:15:00;0,095;Der Wert ist gültig
09.04.2024;18:30:00;0,164;Der Wert ist gültig
09.04.2024;18:45:00;0,175;Der Wert ist gültig
09.04.2024;19:00:00;0,106;Der Wert ist gültig
09.04.2024;19:15:00;0,261;Der Wert ist gültig
09.04.2024;19:30:00;0,168;Der Wert ist gültig
09.04.2024;19:45:00;0,174;Der Wert ist gültig
09.04.2024;20:00:00;0,149;Der Wert ist gültig
09.04.2024;20:15:00;0,143;Der Wert ist gültig
09.04.2024;20:30:00;0,136;Der Wert ist gültig
09.04.2024;20:45:00;0,182;Der Wert ist gültig
09.04.2024;21:00:00;0,143;Der Wert ist gültig
09.04.2024;21:15:00;0,149;Der Wert ist gültig
09.04.2024;21:30:00;0,149;Der Wert ist gültig
09.04.2024;21:45:00;0,143;Der Wert ist gültig
09.04.2024;22:00:00;0,154;Der Wert ist gültig
09.04.2024;22:15:00;0,123;Der Wert ist gültig
09.04.2024;22:30:00;0,136;Der Wert ist gültig
09.04.2024;22:45:00;0,145;Der Wert ist gültig
09.04.2024;23:00:00;0,136;Der Wert ist gültig
09.04.2024;23:15:00;0,131;Der Wert ist gültig
09.04.2024;23:30:00;0,125;Der Wert ist gültig
09.04.2024;23:45:00;0,111;Der Wert ist gültig
10.04.2024;00:00:00;0,117;Der Wert ist gültig
10.04.2024;00:15:00;0,098;Der Wert ist gültig
10.04.2024;00:30:00;0,111;Der Wert ist gültig
10.04.2024;00:45:00;0,104;Der Wert ist gültig
10.04.2024;01:00:00;0,106;Der Wert ist gültig
10.04.2024;01:15:00;0,109;Der Wert ist gültig
10.04.2024;01:30:00;0,096;Der Wert ist gültig
10.04.2024;01:45:00;0,074;Der Wert ist gültig
10.04.2024;02:00:00;0,069;Der Wert ist gültig
10.04.2024;02:15:00;0,028;Der Wert ist gültig
10.04.2024;02:30:00;0,048;Der Wert ist gültig
10.04.2024;02:45:00;0,038;Der Wert ist gültig
10.04.2024;03:00:00;0,036;Der Wert ist gültig
10.04.2024;03:15:00;0,033;Der Wert ist gültig
10.04.2024;03:30:00;0,035;Der Wert ist gültig
10.04.2024;03:45:00;0,047;Der Wert ist gültig
10.04.2024;04:00:00;0,035;Der Wert ist gültig
10.04.2024;04:15:00;0,035;Der Wert ist gültig
10.04.2024;04:30:00;0,038;Der Wert ist gültig
10.04.2024;04:45:00;0,036;Der Wert ist gültig
10.04.2024;05:00:00;0,052;Der Wert ist gültig
10.04.2024;05:15:00;0,04;Der Wert ist gültig
10.04.2024;05:30:00;0,038;Der Wert ist gültig
10.04.2024;05:45:00;0,035;Der Wert ist gültig
10.04.2024;06:00:00;0,05;Der Wert ist gültig
10.04.2024;06:15:00;0,35;Der Wert ist gültig
10.04.2024;06:30:00;0,5;Der Wert ist gültig
10.04.2024;06:45:00;0,507;Der Wert ist gültig
10.04.2024;07:00:00;0,476;Der Wert ist gültig
10.04.2024;07:15:00;0,066;Der Wert ist gültig
10.04.2024;07:30:00;0,044;Der Wert ist gültig
10.04.2024;07:45:00;0,084;Der Wert ist gültig
10.04.2024;08:00:00;0,057;Der Wert ist gültig
10.04.2024;08:15:00;0,04;Der Wert ist gültig
10.04.2024;08:30:00;0,041;Der Wert ist gültig
10.04.2024;08:45:00;0,032;Der Wert ist gültig
10.04.2024;09:00:00;0,041;Der Wert ist gültig
10.04.2024;09:15:00;0,038;Der Wert ist gültig
10.04.2024;09:30:00;0,037;Der Wert ist gültig
10.04.2024;09:45:00;0,036;Der Wert ist gültig
10.04.2024;10:00:00;0,034;Der Wert ist gültig
10.04.2024;10:15:00;0,061;Der Wert ist gültig
10.04.2024;10:30:00;0,068;Der Wert ist gültig
10.04.2024;10:45:00;0,044;Der Wert ist gültig
10.04.2024;11:00:00;0,046;Der Wert ist gültig
10.04.2024;11:15:00;0,045;Der Wert ist gültig
10.04.2024;11:30:00;0,045;Der Wert ist gültig
10.04.2024;11:45:00;0,042;Der Wert ist gültig
10.04.2024;12:00:00;0,136;Der Wert ist gültig
10.04.2024;12:15:00;0,527;Der Wert ist gültig
10.04.2024;12:30:00;0,071;Der Wert ist gültig
10.04.2024;12:45:00;0,121;Der Wert ist gültig
10.04.2024;13:00:00;0,3;Der Wert ist gültig
10.04.2024;13:15:00;0,044;Der Wert ist gültig
10.04.2024;13:30:00;0,043;Der Wert ist gültig
10.04.2024;13:45:00;0,036;Der Wert ist gültig
10.04.2024;14:00:00;0,036;Der Wert ist gültig
10.04.2024;14:15:00;0,044;Der Wert ist gültig
10.04.2024;14:30:00;0,045;Der Wert ist gültig
10.04.2024;14:45:00;0,033;Der Wert ist gültig
10.04.2024;15:00:00;0,042;Der Wert ist gültig
10.04.2024;15:15:00;0,038;Der Wert ist gültig
10.04.2024;15:30:00;0,044;Der Wert ist gültig
10.04.2024;15:45:00;0,036;Der Wert ist gültig
10.04.2024;16:00:00;0,04;Der Wert ist gültig
10.04.2024;16:15:00;0,043;Der Wert ist gültig
10.04.2024;16:30:00;0,037;Der Wert ist gültig
10.04.2024;16:45:00;0,037;Der Wert ist gültig
10.04.2024;17:00:00;0,04;Der Wert ist gültig
10.04.2024;17:15:00;0,042;Der Wert ist gültig
10.04.2024;17:30:00;0,041;Der Wert ist gültig
10.04.2024;17:45:00;0,033;Der Wert ist gültig
10.04.2024;18:00:00;0,054;Der Wert ist gültig
10.04.2024;18:15:00;0,151;Der Wert ist gültig
10.04.2024;18:30:00;0,15;Der Wert ist gültig
10.04.2024;18:45:00;0,068;Der Wert ist gültig
10.04.2024;19:00:00;0,125;Der Wert ist gültig
10.04.2024;19:15:00;0,17;Der Wert ist gültig
10.04.2024;19:30:00;0,125;Der Wert ist gültig
10.04.2024;19:45:00;0,095;Der Wert ist gültig
10.04.2024;20:00:00;0,094;Der Wert ist gültig
10.04.2024;20:15:00;0,116;Der Wert ist gültig
10.04.2024;20:30:00;0,079;Der Wert ist gültig
10.04.2024;20:45:00;0,077;Der Wert ist gültig
10.04.2024;21:00:00;0,076;Der Wert ist gültig
10.04.2024;21:15:00;0,083;Der Wert ist gültig
10.04.2024;21:30:00;0,062;Der Wert ist gültig
10.04.2024;21:45:00;0,066;Der Wert ist gültig
10.04.2024;22:00:00;0,075;Der Wert ist gültig
10.04.2024;22:15:00;0,07;Der Wert ist gültig
10.04.2024;22:30:00;0,075;Der Wert ist gültig
10.04.2024;22:45:00;0,071;Der Wert ist gültig
10.04.2024;23:00:00;0,065;Der Wert ist gültig
10.04.2024;23:15:00;0,058;Der Wert ist gültig
10.04.2024;23:30:00;0,061;Der Wert ist gültig
10.04.2024;23:45:00;0,213;Der Wert ist gültig
11.04.2024;00:00:00;0,249;Der Wert ist gültig
11.04.2024;00:15:00;0,252;Der Wert ist gültig
11.04.2024;00:30:00;0,255;Der Wert ist gültig
11.04.2024;00:45:00;0,261;Der Wert ist gültig
11.04.2024;01:00:00;0,257;Der Wert ist gültig
11.04.2024;01:15:00;0,239;Der Wert ist gültig
11.04.2024;01:30:00;0,241;Der Wert ist gültig
11.04.2024;01:45:00;0,234;Der Wert ist gültig
11.04.2024;02:00:00;0,227;Der Wert ist gültig
11.04.2024;02:15:00;0,218;Der Wert ist gültig
11.04.2024;02:30:00;0,218;Der Wert ist gültig
11.04.2024;02:45:00;0,212;Der Wert ist gültig
11.04.2024;03:00:00;0,207;Der Wert ist gültig
11.04.2024;03:15:00;0,197;Der Wert ist gültig
11.04.2024;03:30:00;0,204;Der Wert ist gültig
11.04.2024;03:45:00;0,221;Der Wert ist gültig
11.04.2024;04:00:00;0,217;Der Wert ist gültig
11.04.2024;04:15:00;0,192;Der Wert ist gültig
11.04.2024;04:30:00;0,198;Der Wert ist gültig
11.04.2024;04:45:00;0,197;Der Wert ist gültig
11.04.2024;05:00:00;0,199;Der Wert ist gültig
11.04.2024;05:15:00;0,183;Der Wert ist gültig
11.04.2024;05:30:00;0,186;Der Wert ist gültig
11.04.2024;05:45:00;0,178;Der Wert ist gültig
11.04.2024;06:00:00;0,182;Der Wert ist gültig
